City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,Cambria,35.5641,-121.0808,301.79,55,5,4.25,US,1715208840
273,Gorgan,36.8387,54.4348,289.13,88,100,0.0,IR,1715208841
274,Katghora,22.5,82.55,298.99,58,76,1.73,IN,1715208841
275,Wemding,48.8667,10.7167,284.02,93,100,2.16,DE,1715208841
276,Tarawa,1.419,172.984,303.2,74,20,4.63,KI,1715208842
277,Bel Ombre,-4.6167,55.4167,298.06,88,75,1.03,SC,1715208842
278,Kasempa,-13.4584,25.8338,289.84,53,84,2.86,ZM,1715208843
279,Saint-Pierre,-21.3393,55.4781,296.97,64,0,6.17,RE,1715208843
280,Vernon,50.2581,-119.2691,296.65,22,0,2.06,CA,1715208763
281,Jagna,9.6531,124.3697,298.78,83,87,3.92,PH,1715208844
282,Labuan,5.2767,115.2417,299.35,94,20,0.0,MY,1715208844
283,Korla,41.7597,86.1469,293.34,34,0,5.57,CN,1715208845
284,Magadan,59.5667,150.8,272.89,88,99,1.87,RU,1715208845
285,Modāsa,23.4667,73.3,303.3,49,13,5.31,IN,1715208846
286,Taltal,-25.4,-70.4833,291.07,72,99,1.03,CL,1715208846
287,Ust-Nera,64.5667,143.2,275.76,73,99,1.52,RU,1715208846
288,Galliano,29.4422,-90.2992,302.15,74,100,6.17,US,1715208847
289,Motueka,-41.1333,173.0167,281.54,40,0,2.47,NZ,1715208847
290,Ugoofaaru,5.6667,73.0,302.54,75,92,3.75,MV,1715208848
291,Gladstone,-23.85,151.25,295.25,73,40,6.17,AU,1715208848
292,La Ferté-Saint-Aubin,47.7169,1.939,285.35,79,47,2.49,FR,1715208849
293,Ola,59.5833,151.2833,273.23,85,100,0.76,RU,1715208849
294,Dzhangala,49.2167,50.3333,278.95,57,22,5.05,KZ,1715208849
295,Egilsstadir,65.2653,-14.3948,276.1,87,40,4.12,IS,1715208850
296,Toliara,-23.35,43.6667,295.51,67,0,4.53,MG,1715208850
297,Lompoc,34.6391,-120.4579,300.2,56,0,8.23,US,1715208851
298,Porto-Novo,6.4965,2.6036,302.05,79,81,1.94,BJ,1715208851
299,New Norfolk,-42.7826,147.0587,285.88,93,71,0.8,AU,1715208802
300,Praia da Vitória,38.7333,-27.0667,290.29,94,40,2.84,PT,1715208852
301,Ålesund,62.4723,6.1549,284.66,76,75,1.54,NO,1715208852
